qscore	match	mismatch	insertion	deletion
0	0	0	0	0
1	9342	2446	536	1851
2	195672	39931	7647	39214
3	1014516	166404	32734	163997
4	2435103	330727	71075	325306
5	3657271	424115	100022	422982
6	4286318	432728	110092	441057
7	4543007	402345	107448	410964
8	4200359	334311	96218	351808
9	3724011	256517	84294	294270
10	3322953	197011	71495	246245
11	3001681	152107	61421	207267
12	2748751	118594	52980	176610
13	2561101	92821	46350	152012
14	2416936	74183	41275	131884
15	2318747	59654	36015	114545
16	2249900	48014	32245	101180
17	2229874	39304	28769	89316
18	2241937	32087	25577	79152
19	2268364	26465	23412	70512
20	2342366	21936	21219	62999
21	2385434	18144	19040	55963
22	2542781	15342	17949	50577
23	2605681	12795	16726	45721
24	2699260	10923	15393	41190
25	2735926	9115	14518	38082
26	2921216	7994	13858	34723
27	3217134	7095	13386	32678
28	3147128	6146	12557	29973
29	3425844	5460	12418	28295
30	3876556	4899	12338	26365
31	4463353	4612	12821	25407
32	3439481	3856	10862	23088
33	6340534	4537	14694	23941
34	4289176	3499	11354	21325
35	4003472	3000	10677	19520
36	12310473	5805	22047	25073
37	10016843	4912	18673	23291
38	7654282	3792	14985	20298
39	7314319	3524	13927	18240
40	6958676	3182	12979	15838
41	6608560	2823	11734	13685
42	6575792	2732	10990	11906
43	5969264	2541	9928	10048
44	5220853	2113	8212	8082
45	4153434	1651	6475	6007
46	3267681	1244	5364	4936
47	2405035	909	3864	3446
48	1752766	660	2730	2564
49	1328581	562	2168	2044
50	90034087	33076	133665	89187
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	0	0	0
70	0	0	0	0
71	0	0	0	0
72	0	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	0	0
79	0	0	0	0
80	0	0	0	0
81	0	0	0	0
82	0	0	0	0
83	0	0	0	0
84	0	0	0	0
85	0	0	0	0
86	0	0	0	0
87	0	0	0	0
88	0	0	0	0
89	0	0	0	0
90	0	0	0	0
91	0	0	0	0
92	0	0	0	0
93	0	0	0	0
