qscore	match	mismatch	insertion	deletion
0	0	0	0	0
1	62638	17612	9004	34291
2	642057	160498	59250	221389
3	1890690	421137	132703	389687
4	3326783	619729	194028	482327
5	4174012	642045	206206	461966
6	4435099	556591	183703	390151
7	4386291	451314	152994	314744
8	3934428	341797	120052	241904
9	3450501	251308	92274	187615
10	3077929	185303	71633	148981
11	2766171	138614	56343	120814
12	2542512	105585	45072	102156
13	2371105	81176	36187	87609
14	2242521	62781	29793	77377
15	2174739	49017	24707	70398
16	2132269	38569	20513	65199
17	2125605	30842	17277	61327
18	2162659	25191	14609	59321
19	2221067	20104	12525	57963
20	2317461	16345	10847	58171
21	2378369	13317	9505	58407
22	2552772	11023	8631	60981
23	2642702	9504	7866	61540
24	2744391	7787	7002	62925
25	2793576	6414	6388	63894
26	2996051	5664	6074	67143
27	3331056	4811	5757	73186
28	3233158	4146	5522	70465
29	3516390	3521	5265	74973
30	4012533	3280	5341	84555
31	4664608	3150	5561	96860
32	3538198	2566	4650	74941
33	6690769	3007	6603	134724
34	4419019	2275	4891	91352
35	4132467	1894	4609	84769
36	13175370	3696	10944	250742
37	10634544	3150	8988	205334
38	8043143	2501	7126	157203
39	7621610	2218	6795	147897
40	7218566	2033	6433	137410
41	6857310	1762	5820	128247
42	6782193	1662	5518	125330
43	6185735	1567	5016	113254
44	5353050	1192	3888	98880
45	4237358	1065	3113	78418
46	3334580	755	2579	61507
47	2435621	565	1862	45119
48	1784707	446	1307	32863
49	1343616	314	1030	24571
50	92676141	19776	72065	1581024
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	0	0	0
70	0	0	0	0
71	0	0	0	0
72	0	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	0	0
79	0	0	0	0
80	0	0	0	0
81	0	0	0	0
82	0	0	0	0
83	0	0	0	0
84	0	0	0	0
85	0	0	0	0
86	0	0	0	0
87	0	0	0	0
88	0	0	0	0
89	0	0	0	0
90	0	0	0	0
91	0	0	0	0
92	0	0	0	0
93	0	0	0	0
