qscore	match	mismatch	insertion	deletion
0	0	0	0	0
1	37297	81087	68339	8991
2	114559	294034	131394	27915
3	282406	474291	158569	44255
4	596035	536593	157428	52593
5	1066507	510298	142015	56802
6	1667792	441464	121991	58970
7	2354485	364053	103059	61398
8	3084177	289918	86354	65120
9	3814428	227743	72123	69485
10	4506826	177115	60517	74762
11	5142243	137837	51091	80239
12	5712323	108529	43282	84746
13	6200201	85131	37853	89674
14	6609221	67769	32745	92965
15	6941446	54370	29142	96581
16	7194021	44154	25585	98917
17	7385055	36379	23307	101058
18	7510892	30648	20974	101398
19	7582988	25902	18924	102396
20	7599033	22544	17273	101840
21	7581753	20003	16209	101562
22	7515196	17562	14982	101313
23	7428293	15682	13858	99615
24	7311365	14192	13030	98205
25	7178662	12911	12237	95983
26	7018129	11925	11590	93145
27	6851587	11291	10862	91541
28	6674476	10249	10287	89153
29	6481903	9702	9507	86165
30	6285008	9071	9174	83784
31	6092763	8589	8811	81806
32	5894066	8233	8306	77960
33	5694524	7896	7796	76053
34	5497414	7414	7407	73271
35	5304389	7175	7261	70209
36	5102698	6827	6936	67944
37	4912263	6404	6388	65118
38	4728350	6057	6243	63133
39	4547368	5926	5808	60359
40	4370569	5687	5708	58332
41	4195861	5328	5291	55782
42	4029646	5021	5009	53677
43	3865938	4747	4791	51644
44	3711654	4734	4592	49371
45	3560224	4439	4388	47179
46	3410928	4219	4239	45322
47	3274777	4138	4159	44132
48	3136992	3967	3869	41705
49	3009748	3738	3613	40163
50	2881432	3748	3524	38471
51	2762716	3487	3411	36682
52	2650430	3260	3173	34885
53	2536829	3173	3176	33855
54	2429315	3035	3012	32624
55	2327352	2875	2790	30937
56	2232634	2687	2687	29736
57	2138214	2714	2510	28236
58	2050821	2471	2445	27336
59	1962772	2428	2387	26499
60	1883495	2254	2257	25059
61	1802780	2239	2103	23931
62	1729490	2143	2080	23064
63	1653855	2033	1964	21976
64	1587415	1902	1846	21245
65	1522634	1945	1824	20293
66	1460768	1813	1810	19281
67	1398526	1804	1636	18459
68	1341667	1660	1540	18073
69	1288016	1581	1556	17122
70	1234565	1488	1464	16452
71	1181038	1415	1421	16081
72	1137062	1399	1273	15182
73	1089864	1336	1238	14563
74	1045324	1280	1261	13793
75	1004590	1207	1187	13381
76	962263	1162	1117	12802
77	924994	1167	1092	12383
78	888768	1079	1008	11871
79	852090	1031	1008	11392
80	818640	1034	955	10829
81	785282	979	931	10597
82	754830	938	890	10055
83	725468	876	886	9879
84	697706	846	806	9516
85	670269	838	803	9059
86	643510	817	762	8544
87	618804	748	740	8268
88	594427	711	699	7961
89	572147	701	663	7566
90	550408	650	650	7349
91	530787	660	687	7060
92	510339	609	590	6900
93	0	0	0	0
