qscore	match	mismatch	insertion	deletion
0	0	0	0	0
1	88800	40498	14992	26114
2	502746	195653	65274	129896
3	1310044	408303	133472	292591
4	2507634	601069	201456	479936
5	3371856	615334	214808	545427
6	3758901	523060	191125	511674
7	3887422	411857	159908	440344
8	3619086	293317	120041	342754
9	3262434	203502	87891	257625
10	2947413	142387	64881	194261
11	2698581	100845	48281	148141
12	2502338	72944	36618	113654
13	2358013	53361	28713	89917
14	2253945	40124	22387	71462
15	2185645	30524	17995	57436
16	2148925	23419	14572	47197
17	2156443	18363	12144	39395
18	2196844	14889	10163	32993
19	2245372	11758	8562	28103
20	2339861	9833	7190	24038
21	2407064	7897	6216	20405
22	2590698	6794	5468	17856
23	2669492	5538	4506	15841
24	2783898	4518	4093	13531
25	2834910	3757	3367	11447
26	3034859	3024	3041	10123
27	3367046	2623	2748	9363
28	3305678	2107	2338	7991
29	3613186	1851	2087	7114
30	4098278	1662	1886	6548
31	4734546	1491	1790	6243
32	3645200	948	1316	4773
33	6762868	1352	1574	5600
34	4564808	805	1156	4112
35	4263766	531	921	3396
36	13194357	1336	1432	4757
37	10727929	866	1176	4096
38	8199436	499	883	3063
39	7839513	432	601	2319
40	7465686	316	512	1816
41	7090155	227	456	1393
42	7054612	171	337	1227
43	6407679	111	241	840
44	5600505	97	197	634
45	4458191	53	136	509
46	3506146	36	84	382
47	2574462	18	69	258
48	1879930	15	55	197
49	1424146	4	38	148
50	96792464	420	1373	5046
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	0	0	0
70	0	0	0	0
71	0	0	0	0
72	0	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	0	0
79	0	0	0	0
80	0	0	0	0
81	0	0	0	0
82	0	0	0	0
83	0	0	0	0
84	0	0	0	0
85	0	0	0	0
86	0	0	0	0
87	0	0	0	0
88	0	0	0	0
89	0	0	0	0
90	0	0	0	0
91	0	0	0	0
92	0	0	0	0
93	0	0	0	0
