tool	rlen	ATGC_n	ATGC
badread	3	11489829.0	0.9170570771766925
badread	4	4457151.0	0.8954341012902637
badread	5	1760542.0	0.8741376235273001
badread	6	657968.0	0.8514274250419473
badread	7	252125.0	0.8289816559246406
badread	8	25907.0	0.810591731964334
badread	9	1991.0	0.790557508789553
badread	10	161.0	0.8198757763975155
longislnd	3	12017356.0	0.8887888483956038
longislnd	4	4652687.0	0.8597790910929534
longislnd	5	1837558.0	0.9262722591613435
longislnd	6	688895.0	0.907888720341997
longislnd	7	262156.0	0.8840118097621263
longislnd	8	26490.0	0.819214798036995
longislnd	9	1867.0	0.7129084092126406
longislnd	10	115.0	0.4260869565217391
lrsim	3	11966070.0	0.8808094888296659
lrsim	4	4645657.0	0.8508835241172562
lrsim	5	1830175.0	0.8226590353381508
lrsim	6	686151.0	0.795945790358099
lrsim	7	260252.0	0.7714753392865377
lrsim	8	26887.0	0.7467921300256629
lrsim	9	2273.0	0.7483501979762428
lrsim	10	208.0	0.7259615384615384
nanosim	3	12498073.0	0.9269925851769308
nanosim	4	4843881.0	0.9131929541621687
nanosim	5	1911060.0	0.9874619321214405
nanosim	6	715618.0	0.9871034546364121
nanosim	7	272258.0	0.987482461488735
nanosim	8	27552.0	0.9860627177700348
nanosim	9	1914.0	0.9822361546499477
nanosim	10	117.0	0.9914529914529915
pbsim3	3	11949338.0	0.9282604609560797
pbsim3	4	4628598.0	0.9144650280711352
pbsim3	5	1826960.0	0.9032710075754259
pbsim3	6	686340.0	0.8933254655127196
pbsim3	7	260898.0	0.8825479689380524
pbsim3	8	26446.0	0.8759358693186116
pbsim3	9	1869.0	0.8640984483681113
pbsim3	10	114.0	0.8508771929824561
real	3	11729323.0	0.9216964184548417
real	4	4543083.0	0.9075709160497398
real	5	1780934.0	0.890819087063305
real	6	664649.0	0.8675526480894427
real	7	249186.0	0.8431693594343181
real	8	23891.0	0.7733874680842158
real	9	1762.0	0.6441543700340522
real	10	139.0	0.5035971223021583
simlord	3	12103782.0	0.8492604212468466
simlord	4	4692974.0	0.8123471385096104
simlord	5	1852322.0	0.7781730174343338
simlord	6	695259.0	0.7470884950788124
simlord	7	265034.0	0.7166703139974494
simlord	8	27418.0	0.6934130862936757
simlord	9	1926.0	0.6656282450674974
simlord	10	130.0	0.6076923076923076
