qscore	match	mismatch	insertion	deletion
0	0	0	0	0
1	33791	16976	52893	11177
2	382180	151703	144138	133591
3	1307764	395096	165727	332880
4	2518031	585730	229746	465995
5	3343240	609411	227585	479657
6	3662390	532120	201875	422409
7	3730276	432837	167972	347635
8	3421400	329933	133397	272068
9	3037421	241927	104167	212492
10	2719039	179834	82321	166926
11	2473127	134176	65220	133173
12	2288139	102404	52314	108092
13	2148844	78318	42253	88931
14	2049241	61291	34704	73752
15	1983730	47697	28914	62016
16	1956788	37583	24186	52797
17	1962412	29968	20135	44778
18	1996779	24114	17056	38565
19	2043085	19346	14558	33664
20	2135599	15531	12473	28497
21	2193860	12480	10412	25272
22	2361916	10215	9283	21880
23	2437527	8195	8105	19077
24	2545085	7049	7125	16993
25	2589547	5710	6263	15077
26	2782066	4633	5554	13721
27	3087331	3909	4942	12355
28	3023396	3218	4368	11009
29	3312931	2772	3990	9956
30	3760755	2431	3641	9334
31	4358845	2051	3310	8425
32	3346952	1773	2977	7693
33	6222674	1529	2875	7205
34	4195074	1317	2619	6757
35	3917435	1129	2340	5864
36	12153275	1125	2332	5948
37	9889773	1021	2334	5664
38	7550078	873	1970	5125
39	7212428	729	1837	4567
40	6872612	616	1499	3695
41	6521739	524	1209	2952
42	6495190	450	1034	2388
43	5895471	385	868	1889
44	5154201	304	705	1539
45	4102893	258	486	1133
46	3229759	180	379	856
47	2373756	158	296	621
48	1731672	120	213	465
49	1311801	87	137	336
50	89017422	3103	6769	10834
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	0	0	0
70	0	0	0	0
71	0	0	0	0
72	0	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	0	0
79	0	0	0	0
80	0	0	0	0
81	0	0	0	0
82	0	0	0	0
83	0	0	0	0
84	0	0	0	0
85	0	0	0	0
86	0	0	0	0
87	0	0	0	0
88	0	0	0	0
89	0	0	0	0
90	0	0	0	0
91	0	0	0	0
92	0	0	0	0
93	0	0	0	0
