qscore	match	mismatch	insertion	deletion
0	0	0	0	0
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	5875348	675793	254069	755176
8	8474678	751832	290110	921357
9	11620244	774970	308098	1041227
10	15231621	768217	313037	1116435
11	19719626	754866	314325	1175487
12	22697468	669386	280984	1101860
13	25262910	576430	242810	991703
14	27109574	483041	201505	858000
15	26296383	365163	152057	673763
16	25214344	276079	112935	517524
17	22390034	194091	77151	370797
18	19393113	132454	51258	255893
19	16228125	87772	33454	174271
20	11138433	48080	17748	95409
21	8659575	29376	10494	58797
22	5641870	15184	5349	30884
23	3995730	8526	2887	17674
24	2142574	3708	1264	7413
25	1388540	1919	596	4107
26	791809	895	260	1762
27	456228	412	117	764
28	195222	132	48	280
29	106891	58	10	113
30	34533	14	3	42
31	41453	11	1	42
32	8603	3	0	8
33	4268	0	0	2
34	0	0	0	0
35	0	0	0	0
36	0	0	0	0
37	0	0	0	0
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
50	0	0	0	0
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	0	0	0
70	0	0	0	0
71	0	0	0	0
72	0	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	0	0
79	0	0	0	0
80	0	0	0	0
81	0	0	0	0
82	0	0	0	0
83	0	0	0	0
84	0	0	0	0
85	0	0	0	0
86	0	0	0	0
87	0	0	0	0
88	0	0	0	0
89	0	0	0	0
90	0	0	0	0
91	0	0	0	0
92	0	0	0	0
93	0	0	0	0
